,accepted retention time difference [min],accepted ion abundance ratio deviation [%],Selected channel for quantification [MSMS/HRMS/NONE],MDL MS/MS [ng/sample],MDL HRMS [ng/sample]
PFBA,0.1,80,MSMS,,
PFPeA,0.1,80,MSMS,,
PFHxA,0.1,80,MSMS,,
PFHpA,0.1,80,MSMS,,
PFOA,0.1,80,MSMS,,
PFNA,0.1,80,MSMS,,
PFDA,0.1,80,MSMS,,
PFUnA,0.1,80,MSMS,,
PFDoA,0.1,80,MSMS,,
PFTrDA,0.4,80,MSMS,,
PFTeDA,0.1,80,MSMS,,
PFBS,0.1,80,MSMS,,
PFPeS,0.4,80,MSMS,,
L-PFHxS,0.4,80,MSMS,,
Br-PFHxS,0.4,80,MSMS,,
PFHpS,0.4,80,MSMS,,
L-PFOS,0.4,80,MSMS,,
L-PFOS confirmation,0.4,80,MSMS,,
Br-PFOS,0.4,80,MSMS,,
Br-PFOS confirmation,0.4,80,MSMS,,
PFNS,0.4,80,MSMS,,
PFDS,0.4,80,MSMS,,
FBSA,0.4,80,MSMS,,
FPeSA,0.4,80,MSMS,,
FHxSA,0.4,80,MSMS,,
FHpSA,0.4,80,MSMS,,
FOSA,0.1,80,MSMS,,
4:2 FTS,0.1,80,MSMS,,
6:2 FTS,0.1,80,MSMS,,
8:2 FTS,0.1,80,MSMS,,
10:2 FTS,0.4,80,MSMS,,
PFPrA,0.4,80,MSMS,,
3:3 FTCA,0.4,80,MSMS,,
5:3 FTCA,0.4,80,MSMS,,
7:3 FTCA,0.4,80,MSMS,,
FOEA,0.4,80,MSMS,,
PFPrS,0.4,80,MSMS,,
N-MeFBSA,0.4,80,MSMS,,
N-EtFBSA,0.4,80,MSMS,,
L-N-MeFOSAA,0.4,80,MSMS,,
Br-N-MeFOSAA,0.4,80,MSMS,,
L-N-EtFOSAA,0.4,80,MSMS,,
Br-N-EtFOSAA,0.4,80,MSMS,,
N-MeFOSA,0.1,80,MSMS,,
N-EtFOSA,0.1,80,MSMS,,
HFPO-DA,0.1,80,MSMS,,
ADONA,0.4,80,MSMS,,
9ClPF3ONS,0.4,80,MSMS,,
11ClPF3OUdS,0.4,80,MSMS,,
NFDHA,0.4,80,MSMS,,
PFMPA,0.4,80,MSMS,,
PFMBA,0.4,80,MSMS,,
PFECHS,0.4,80,MSMS,,
PFEESA,0.4,80,MSMS,,
N-AP-FHxSA,0.4,80,MSMS,,
N-TAmP-FHxSA,0.4,80,MSMS,,
