,lower threshold [%],upper threshold [%]
EIS-13C4_PFBA,50,150
EIS-13C5_PFPeA,50,150
EIS-13C5_PFHxA,50,150
EIS-13C4_PFHpA,50,150
EIS-13C8_PFOA,50,150
EIS-13C9_PFNA,50,150
EIS-13C6_PFDA,50,150
EIS-13C7_PFUnA,50,150
EIS-13C2_PFDoA,50,150
EIS-13C2_PFTeDA,50,200
EIS-13C3_PFBS,50,150
EIS-13C3_PFHxS,50,150
EIS-13C8_PFOS,50,150
EIS-13C8_FOSA,50,150
EIS-d3-N-MeFOSAA,50,150
EIS-d5-N-EtFOSAA,50,150
EIS-d3-N-MeFOSA,50,150
EIS-d5-N-EtFOSA,50,150
EIS-13C3_HFPO-DA,50,150
EIS-13C2 4:2 FTS,200,300
EIS-13C2 6:2 FTS,200,400
EIS-13C2 8:2 FTS,150,300
