,accepted retention time difference [min],accepted ion abundance ratio deviation [%],Selected channel for quantification [MSMS/HRMS/NONE]
PFBA,0.1,80,MSMS
PFPeA,0.1,80,MSMS
PFHxA,0.1,80,MSMS
PFHpA,0.1,80,MSMS
PFOA,0.1,80,MSMS
PFNA,0.1,80,MSMS
PFDA,0.1,80,MSMS
PFUnA,0.1,80,MSMS
PFDoA,0.1,80,MSMS
PFTrDA,0.4,80,MSMS
PFTeDA,0.1,80,MSMS
PFBS,0.1,80,MSMS
PFPeS,0.4,80,MSMS
L-PFHxS,0.4,80,MSMS
Br-PFHxS,0.4,80,MSMS
PFHpS,0.4,80,MSMS
L-PFOS,0.4,80,MSMS
L-PFOS confirmation,0.4,80,MSMS
Br-PFOS,0.4,80,MSMS
Br-PFOS confirmation,0.4,80,MSMS
PFNS,0.4,80,MSMS
PFDS,0.4,80,MSMS
FBSA,0.4,80,MSMS
FPeSA,0.4,80,MSMS
FHxSA,0.4,80,MSMS
FHpSA,0.4,80,MSMS
FOSA,0.1,80,MSMS
4:2 FTS,0.1,80,MSMS
6:2 FTS,0.1,80,MSMS
8:2 FTS,0.1,80,MSMS
10:2 FTS,0.4,80,MSMS
PFPrA_HRMS,0.4,80,HRMS
3:3 FTCA_HRMS,0.4,80,HRMS
5:3 FTCA_HRMS,0.4,80,HRMS
7:3 FTCA_HRMS,0.4,80,HRMS
FOEA_HRMS,0.4,80,HRMS
PFPrS_HRMS,0.4,80,HRMS
N-MeFBSA_HRMS,0.4,80,HRMS
N-EtFBSA_HRMS,0.4,80,HRMS
L-N-MeFOSAA_HRMS,0.4,80,HRMS
Br-N-MeFOSAA_HRMS,0.4,80,HRMS
L-N-EtFOSAA_HRMS,0.4,80,HRMS
Br-N-EtFOSAA_HRMS,0.4,80,HRMS
N-MeFOSA_HRMS,0.4,80,HRMS
N-EtFOSA_HRMS,0.4,80,HRMS
HFPO-DA_HRMS,0.4,80,HRMS
ADONA_HRMS,0.4,80,HRMS
9ClPF3ONS_HRMS,0.4,80,HRMS
11ClPF3OUdS_HRMS,0.4,80,HRMS
NFDHA_HRMS,0.4,80,HRMS
PFMPA_HRMS,0.4,80,HRMS
PFMBA_HRMS,0.4,80,HRMS
PFECHS_HRMS,0.4,80,HRMS
PFEESA_HRMS,0.4,80,HRMS
N-AP-FHxSA_HRMS,0.4,80,HRMS
N-TAmP-FHxSA_HRMS,0.4,80,HRMS
