Number,Name
0,TFA
1,PFPrA
2,PFBA
3,PFPeA
4,PFHxA
5,PFHpA
6,PFOA
7,PFNA
8,PFDA
9,PFUdA
10,PFUnA
11,PFDoA
12,PFTrDA
13,PFTeDA
14,PFHxDA
15,PFODA
16,3:3 FTCA
17,5:3 FTCA
18,6:2 FTCA
19,7:3 FTCA
20,FOEA
21,8:2 FTCA
22,9:3 FTCA
23,10:2 FTCA
24,6:2 FTUCA
25,8:2 FTUCA
26,10:2 FTUCA
27,TFMS
28,TFMS2
29,PFEtS
30,PFEtS2
31,PFPrS
32,PFPrSA
33,PFBS
34,PFPeS
35,L-PFHxS
36,PFHxS
37,Br-PFHxS
38,PFHxS_branched
39,PFHpS
40,PFOS
41,L-PFOS
42,L-PFOS confirmation
43,L-PFOS_2
44,PFOS_branched
45,Br-PFOS
46,Br-PFOS confirmation
47,Br-PFOS_2
48,PFNS
49,PFDS
50,PFDoS
51,PFECHS
52,FBSA
53,FPeSA
54,FHxSA
55,FHpSA
56,FOSA
57,N-AP-FPeSA
58,N-AP-FPeSA_ESI+
59,N-AP-FHxSA
60,N-AP-FHxSA_ESI+
61,N-TAmP-FHxSA
62,N-TAmP-FHxSA_ESI+
63,N-AP-FOSA
64,N-AP-FOSA_ESI+
65,MeFBSA
66,N-MeFBSA
67,N-EtFBSA-M
68,N-EtFBSA
69,MeFOSA
70,N-MeFOSA
71,EtFOSA
72,N-EtFOSA
73,L-N-MeFOSAA
74,N-MeFOSAA
75,Br-N-MeFOSAA
76,N-MeFOSAA_branched
77,L-N-EtFOSAA
78,N-EtFOSAA
79,Br-N-EtFOSAA
80,N-EtFOSAA_branched
81,PFMPA
82,PF4OPeA
83,PFMBA
84,PF5OHxA
85,NFDHA
86,"3,6-OPFHpA"
87,HFPO-DA
88,DONA
89,ADONA
90,9Cl-PF3ONS
91,9ClPF3ONS
92,11Cl-PF3OUdS
93,11ClPF3OUdS
94,PFEESA
95,4:2 FTS
96,6:2 FTS
97,8:2 FTS
98,10:2 FTS
99,6:2 diPAP
100,8:2 diPAP
101,PFEA
