eis compound,nis compound
13C4_PFBA_TOF MS,13C3_PFBA_TOF MS
13C5_PFPeA_TOF MS,13C2_PFHxA_TOF MS
13C5_PFHxA_TOF MS,13C2_PFHxA_TOF MS
13C4_PFHpA_TOF MS,13C4_PFOA_TOF MS
13C8_PFOA_TOF MS,13C4_PFOA_TOF MS
13C9_PFNA_TOF MS,13C4_PFOA_TOF MS
13C6_PFDA_TOF MS,13C2_PFDA_TOF MS
13C7_PFUdA_TOF MS,13C2_PFDA_TOF MS
13C2_PFDoA_TOF MS,13C2_PFDA_TOF MS
13C2_PFTeDA_TOF MS,13C2_PFDA_TOF MS
13C3_PFBS_TOF MS,18O2_PFHxS_TOF MS
13C3_PFHxS_TOF MS,18O2_PFHxS_TOF MS
13C8_PFOS_TOF MS,13C4_PFOS_TOF MS
13C8_FOSA_TOF MS,13C4_PFOS_TOF MS
d3-MeFOSAA_TOF MS,13C4_PFOS_TOF MS
d5-EtFOSAA_TOF MS,13C4_PFOS_TOF MS
d-MeFOSA_TOF MS,13C4_PFOS_TOF MS
d-EtFOSA_TOF MS,13C4_PFOS_TOF MS
13C3_HFPO-DA_TOF MS,13C4_PFOA_TOF MS
13C2 4:2 FTS_TOF MS,13C4_PFOS_TOF MS
13C2 6:2 FTS_TOF MS,13C4_PFOS_TOF MS
13C2 8:2 FTS_TOF MS,13C4_PFOS_TOF MS
