Number,Name
0,EIS-13C3_PFPrA
1,IDA-13C4_PFBA
2,EIS-13C4_PFBA
3,IDA-13C5_PFPeA
4,EIS-13C5_PFPeA
5,IDA-13C5_PFHxA
6,EIS-13C5_PFHxA
7,IDA-13C4_PFHpA
8,EIS-13C4_PFHpA
9,IDA-13C8_PFOA
10,EIS-13C8_PFOA
11,IDA-13C9_PFNA
12,EIS-13C9_PFNA
13,IDA-13C6_PFDA
14,EIS-13C6_PFDA
15,EIS-13C7_PFUnA
16,IDA-13C7_PFUdA
17,EIS-13C7_PFUdA
18,IDA-13C2_PFDoA
19,EIS-13C2_PFDoA
20,IDA-13C2_PFTeDA
21,EIS-13C2_PFTeDA
22,EIS-Avg_13C2_PFDoA_13C2_PFTeDA
23,EIS-13C2_6:2 FTCA
24,EIS-13C2_8:2 FTCA
25,EIS-13C2_10:2 FTCA
26,EIS-13C2_6:2 FTUCA
27,EIS-13C2_8:2 FTUCA
28,EIS-13C2_10:2 FTUCA
29,IDA-13C3_PFBS
30,EIS-13C3_PFBS
31,IDA-13C3_PFHxS
32,EIS-13C3_PFHxS
33,IDA-13C8_PFOS
34,EIS-13C8_PFOS
35,IDA-13C8_FOSA
36,EIS-13C8_FOSA
37,IDA-d3-MeFOSAA
38,EIS-d3_N-MeFOSAA
39,IDA-d5-EtFOSAA
40,EIS-d5_N-EtFOSAA
41,IDA-d-MeFOSA
42,EIS-d3_N-MeFOSA
43,IDA-d-EtFOSA
44,EIS-d5_N-EtFOSA
45,IDA-13C3_HFPO-DA
46,EIS-13C3_HFPO-DA
47,IDA-13C2 4:2 FTS
48,EIS-13C2_4:2 FTS
49,IDA-13C2 6:2 FTS
50,EIS-13C2_6:2 FTS
51,IDA-13C2 8:2 FTS
52,EIS-13C2_8:2 FTS
53,EIS-13C2_10:2 FTS
54,EIS-13C4_6:2 diPAP
55,EIS-13C4_8:2 diPAP
56,EIS-d7_N-MeFOSE
57,EIS-d9_N-EtFOSE
