,lower threshold for recoveries [%],upper threshold for recoveries [%]
IDA-13C4_PFBA,50,150
IDA-13C5_PFPeA,50,150
IDA-13C5_PFHxA,50,150
IDA-13C4_PFHpA,50,150
IDA-13C8_PFOA,50,150
IDA-13C9_PFNA,50,150
IDA-13C6_PFDA,50,150
IDA-13C7_PFUdA,50,150
IDA-13C2_PFDoA,50,150
IDA-13C2_PFTeDA,50,150
IDA-13C3_PFBS,50,150
IDA-13C3_PFHxS,50,150
IDA-13C8_PFOS,50,150
IDA-13C8_FOSA,50,150
IDA-d3-MeFOSAA,50,150
IDA-d5-EtFOSAA,50,150
IDA-d-MeFOSA,50,150
IDA-d-EtFOSA,50,150
IDA-13C3_HFPO-DA,50,150
IDA-13C2 4:2 FTS,50,150
IDA-13C2 6:2 FTS,50,150
IDA-13C2 8:2 FTS,50,150
